Tau (seconds) - Plot 0	Amplitude - Plot 0
1.04E-05	0.0455488
1.14E-05	0.0438291
1.24E-05	0.0446016
1.34E-05	0.0451202
1.46E-05	0.044848
1.59E-05	0.0441715
1.73E-05	0.0458403
1.88E-05	0.0462032
2.05E-05	0.0438786
2.23E-05	0.0440709
2.43E-05	0.0450942
2.64E-05	0.044807
2.87E-05	0.0461856
3.12E-05	0.0443633
3.40E-05	0.0438621
3.70E-05	0.0443824
4.02E-05	0.0441627
4.38E-05	0.0452839
4.76E-05	0.0442144
5.18E-05	0.0444571
5.64E-05	0.0448604
6.14E-05	0.0446132
6.68E-05	0.0443708
7.26E-05	0.0441725
7.90E-05	0.0446712
8.60E-05	0.0441231
9.35E-05	0.0444367
0.00010175	0.0443261
0.0001107	0.0443234
0.000120437	0.0443103
0.000131038	0.0439373
0.000142563	0.0436535
0.000155112	0.0436884
0.000168762	0.0436446
0.000183612	0.0434122
0.000199762	0.04341
0.000217337	0.0434406
0.000236462	0.0432265
0.000257262	0.0429329
0.0002799	0.0427585
0.000304525	0.0427721
0.000331325	0.042434
0.000360475	0.0424017
0.0003922	0.0420907
0.0004267	0.0416334
0.00046425	0.0416147
0.0005051	0.0410896
0.000549537	0.0412307
0.000597888	0.0406647
0.0006505	0.0404925
0.000707738	0.0400551
0.00077	0.0396207
0.00083775	0.0392599
0.000911462	0.0389685
0.000991662	0.0386406
0.00107891	0.0379268
0.00117385	0.0375398
0.00127713	0.037254
0.0013895	0.0367438
0.00151175	0.0361952
0.00164476	0.035657
0.00178949	0.0350867
0.00194694	0.0345089
0.00211824	0.0339581
0.00230461	0.0333126
0.00250739	0.032662
0.00272801	0.0319827
0.00296804	0.0312468
0.00322919	0.0305587
0.00351331	0.0298777
0.00382244	0.0292024
0.00415875	0.0283868
0.00452466	0.0276154
0.00492277	0.0268761
0.00535591	0.0260582
0.00582716	0.0252895
0.00633988	0.0243901
0.0068977	0.02352
0.0075046	0.0225412
0.00816491	0.0216315
0.00888331	0.020748
0.00966492	0.0198442
0.0105153	0.0189672
0.0114405	0.0180442
0.0124471	0.0173224
0.0135423	0.0164476
0.0147338	0.0155577
0.0160302	0.0146517
0.0174406	0.0137385
0.0189752	0.0127964
0.0206447	0.0119895
0.0224612	0.011101
0.0244375	0.0102522
0.0265876	0.009418
0.028927	0.00844483
0.0314722	0.00748153
0.0342413	0.00639481
0.0372541	0.00579949
0.0405319	0.00495717
0.0440982	0.00430881
