Tau (seconds) - Plot 0	Amplitude - Plot 0
1.06E-05	0.10204
1.18E-05	0.095526
1.31E-05	0.0968011
1.46E-05	0.101379
1.62E-05	0.0975222
1.81E-05	0.0981463
2.01E-05	0.0980494
2.24E-05	0.0999038
2.49E-05	0.100958
2.77E-05	0.099673
3.08E-05	0.0964633
3.43E-05	0.0974366
3.82E-05	0.0985214
4.25E-05	0.0981817
4.73E-05	0.0979456
5.27E-05	0.0979868
5.87E-05	0.0991362
6.53E-05	0.0973036
7.27E-05	0.0977403
8.09E-05	0.0976518
9.00E-05	0.100095
0.000100212	0.0969361
0.000111537	0.0974784
0.00012415	0.0965007
0.000138187	0.0968078
0.000153813	0.0961261
0.0001712	0.0962879
0.000190563	0.0954801
0.000212112	0.0959205
0.0002361	0.0956564
0.0002628	0.0945891
0.000292512	0.0952779
0.000325587	0.0942919
0.0003624	0.0934297
0.000403375	0.0941162
0.000448987	0.0924669
0.000499763	0.0914223
0.000556275	0.0906691
0.000619175	0.0898509
0.000689188	0.089354
0.000767125	0.0884816
0.000853862	0.0875929
0.000950412	0.0862812
0.00105788	0.0848466
0.0011775	0.0841332
0.00131065	0.0832969
0.00145885	0.0811733
0.0016238	0.0797334
0.00180741	0.0788291
0.00201179	0.0771479
0.00223927	0.0748973
0.00249248	0.0732393
0.00277431	0.0715918
0.00308802	0.0698778
0.0034372	0.0680374
0.00382586	0.0662885
0.00425847	0.0645153
0.00474	0.0627193
0.00527597	0.0608816
0.00587256	0.058769
0.0065366	0.0563992
0.00727572	0.0545213
0.00809844	0.0524688
0.00901416	0.0500214
0.0100334	0.047609
0.011168	0.0451001
0.0124308	0.0429604
0.0138364	0.0407784
0.015401	0.0383995
0.0171424	0.0359065
0.0190808	0.0337154
0.0212384	0.0315916
0.0236399	0.0294706
0.026313	0.0270628
0.0292883	0.0253051
0.0326001	0.0233194
0.0362864	0.0212308
0.0403895	0.0187391
0.0449565	0.0165045
0.0500399	0.0144547
0.0556982	0.0124222
0.0619963	0.010594
0.0690065	0.00871311
0.0768095	0.00752704
0.0854947	0.0068803
0.095162	0.00606353
0.105922	0.00559816
0.1179	0.00591055
0.131231	0.00399298
0.14607	0.00272009
0.162587	0.00180681
0.180972	0.00299537
0.201435	0.00276918
0.224212	0.00208644
0.249565	0.000210509
0.277785	0.000623081
0.309195	-0.00116371
0.344157	-0.00287718
0.383073	0.000146527
0.426389	-0.000865442
