Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.0868125
1.15E-05	0.0810898
1.26E-05	0.0822203
1.38E-05	0.0755711
1.51E-05	0.0883526
1.65E-05	0.0761057
1.81E-05	0.0784133
1.98E-05	0.0847037
2.17E-05	0.0815486
2.38E-05	0.081658
2.61E-05	0.0888808
2.86E-05	0.0750624
3.13E-05	0.0870098
3.43E-05	0.08598
3.76E-05	0.0850728
4.12E-05	0.0770334
4.51E-05	0.0801617
4.94E-05	0.0827216
5.41E-05	0.0851172
5.93E-05	0.0832516
6.49E-05	0.0837884
7.11E-05	0.0779584
7.79E-05	0.0860879
8.53E-05	0.0818422
9.35E-05	0.0834948
0.000102412	0.0838713
0.000112187	0.0828998
0.0001229	0.0811446
0.000134637	0.0799985
0.000147488	0.0806698
0.000161575	0.081623
0.000177	0.078972
0.0001939	0.0802703
0.000212412	0.0800088
0.000232687	0.0788313
0.000254912	0.0784882
0.00027925	0.0806067
0.000305912	0.0779019
0.000335112	0.0773387
0.000367112	0.0763003
0.000402175	0.0760219
0.000440575	0.0753841
0.000482637	0.0763608
0.000528712	0.0740585
0.0005792	0.0731308
0.0006345	0.0722324
0.000695075	0.0710044
0.000761437	0.0708146
0.000834137	0.0697694
0.000913787	0.0674617
0.00100104	0.0668485
0.00109661	0.064976
0.00120133	0.0646955
0.00131602	0.0632602
0.00144167	0.0620449
0.00157932	0.0598685
0.00173011	0.0579612
0.0018953	0.0569346
0.00207626	0.0561334
0.0022745	0.0540066
0.00249166	0.0526383
0.00272957	0.050676
0.00299019	0.0486412
0.00327569	0.0474385
0.00358845	0.0452594
0.00393106	0.0436039
0.0043064	0.041559
0.00471757	0.0393887
0.005168	0.037394
0.00566142	0.0355663
0.00620197	0.0333062
0.00679414	0.0312599
0.00744284	0.0285206
0.00815346	0.026946
0.00893195	0.0243654
0.00978476	0.0218335
0.010719	0.0196848
0.0117424	0.0172941
0.0128636	0.015172
0.0140918	0.0130639
0.0154372	0.0113086
0.0169112	0.0102679
0.0185258	0.00898787
0.0202947	0.0073617
0.0222324	0.00647815
0.0243551	0.0055426
0.0266805	0.00437768
0.0292279	0.00363102
0.0320186	0.00202096
0.0350756	0.000847208
0.0384246	-6.98E-05
0.0420934	-0.00159318
0.0461124	-0.0026207
0.0505151	-0.00285312
0.0553383	-0.00310058
0.0606219	-0.0037432
0.06641	-0.00306976
0.0727507	-0.00348708
0.0796969	-0.00156735
0.0873063	-0.00203981
