Tau (seconds) - Plot 0	Amplitude - Plot 0
1.05E-05	0.130473
1.15E-05	0.126998
1.26E-05	0.127774
1.38E-05	0.129642
1.51E-05	0.123745
1.65E-05	0.118492
1.81E-05	0.121395
1.98E-05	0.126141
2.17E-05	0.131925
2.38E-05	0.123658
2.61E-05	0.12199
2.86E-05	0.130918
3.13E-05	0.130293
3.43E-05	0.12618
3.76E-05	0.12806
4.12E-05	0.125428
4.51E-05	0.136413
4.94E-05	0.124295
5.41E-05	0.121636
5.93E-05	0.122766
6.49E-05	0.12539
7.11E-05	0.123479
7.79E-05	0.129644
8.53E-05	0.122559
9.35E-05	0.120098
0.000102412	0.124592
0.000112187	0.12214
0.0001229	0.127104
0.000134637	0.121456
0.000147488	0.121446
0.000161575	0.120247
0.000177	0.124109
0.0001939	0.122364
0.000212412	0.119953
0.000232687	0.121821
0.000254912	0.117008
0.00027925	0.1193
0.000305912	0.115185
0.000335112	0.116494
0.000367112	0.114522
0.000402175	0.116948
0.000440575	0.11626
0.000482637	0.116115
0.000528712	0.112855
0.0005792	0.113139
0.0006345	0.110025
0.000695075	0.110721
0.000761437	0.108607
0.000834137	0.106579
0.000913787	0.106307
0.00100104	0.105162
0.00109661	0.102481
0.00120133	0.100976
0.00131602	0.0980078
0.00144167	0.0959383
0.00157932	0.0943117
0.00173011	0.0929579
0.0018953	0.0910887
0.00207626	0.0867861
0.0022745	0.0864612
0.00249166	0.0826235
0.00272957	0.0795977
0.00299019	0.0770493
0.00327569	0.0743049
0.00358845	0.0702149
0.00393106	0.0677063
0.0043064	0.0644152
0.00471757	0.0608034
0.005168	0.0578092
0.00566142	0.0546327
0.00620197	0.0521043
0.00679414	0.0482367
0.00744284	0.0446338
0.00815346	0.0413622
0.00893195	0.0381802
0.00978476	0.035857
0.010719	0.0322102
0.0117424	0.028624
0.0128636	0.025783
0.0140918	0.0233382
0.0154372	0.021738
0.0169112	0.0209184
0.0185258	0.0195281
0.0202947	0.0178742
0.0222324	0.0170508
0.0243551	0.0156299
0.0266805	0.0147514
0.0292279	0.0141175
0.0320186	0.0133896
0.0350756	0.0111459
0.0384246	0.00808437
0.0420934	0.00442949
0.0461124	0.000907156
0.0505151	-0.000884537
0.0553383	-0.00107902
0.0606219	-0.00158324
0.06641	-0.00365133
0.0727507	-0.00664997
0.0796969	-0.0111332
0.0873063	-0.0109295
